INSERT INTO Records (product_id, date, price) VALUES (1, '2020-08-18', 8.00);
INSERT INTO Records (product_id, date, price) VALUES (89, '2020-08-18', 17.00);
INSERT INTO Records (product_id, date, price) VALUES (92, '2020-08-18', 24.00);
INSERT INTO Records (product_id, date, price) VALUES (93, '2020-08-18', 21.00);
INSERT INTO Records (product_id, date, price) VALUES (94, '2020-08-18', 21.00);
INSERT INTO Records (product_id, date, price) VALUES (95, '2020-08-18', 8.00);
INSERT INTO Records (product_id, date, price) VALUES (97, '2020-08-18', 11.00);
INSERT INTO Records (product_id, date, price) VALUES (98, '2020-08-18', 10.00);
INSERT INTO Records (product_id, date, price) VALUES (99, '2020-08-18', 9.00);
INSERT INTO Records (product_id, date, price) VALUES (100, '2020-08-18', 11.00);
INSERT INTO Records (product_id, date, price) VALUES (101, '2020-08-18', 11.00);
INSERT INTO Records (product_id, date, price) VALUES (102, '2020-08-18', 11.00);
INSERT INTO Records (product_id, date, price) VALUES (104, '2020-08-18', 13.00);
INSERT INTO Records (product_id, date, price) VALUES (105, '2020-08-18', 10.00);
INSERT INTO Records (product_id, date, price) VALUES (106, '2020-08-18', 24.00);
INSERT INTO Records (product_id, date, price) VALUES (107, '2020-08-18', 26.00);
INSERT INTO Records (product_id, date, price) VALUES (108, '2020-08-18', 39.00);
INSERT INTO Records (product_id, date, price) VALUES (109, '2020-08-18', 45.00);
INSERT INTO Records (product_id, date, price) VALUES (110, '2020-08-18', 22.00);
INSERT INTO Records (product_id, date, price) VALUES (111, '2020-08-18', 45.00);
INSERT INTO Records (product_id, date, price) VALUES (112, '2020-08-18', 101.00);
INSERT INTO Records (product_id, date, price) VALUES (113, '2020-08-18', 49.00);
INSERT INTO Records (product_id, date, price) VALUES (114, '2020-08-18', 48.00);
INSERT INTO Records (product_id, date, price) VALUES (116, '2020-08-18', 48.00);
INSERT INTO Records (product_id, date, price) VALUES (117, '2020-08-18', 115.00);
INSERT INTO Records (product_id, date, price) VALUES (118, '2020-08-18', 65.00);
INSERT INTO Records (product_id, date, price) VALUES (119, '2020-08-18', 46.00);
INSERT INTO Records (product_id, date, price) VALUES (120, '2020-08-18', 94.00);
INSERT INTO Records (product_id, date, price) VALUES (121, '2020-08-18', 38.00);
INSERT INTO Records (product_id, date, price) VALUES (122, '2020-08-18', 40.00);
INSERT INTO Records (product_id, date, price) VALUES (123, '2020-08-18', 41.00);
INSERT INTO Records (product_id, date, price) VALUES (124, '2020-08-18', 7.90);
INSERT INTO Records (product_id, date, price) VALUES (125, '2020-08-18', 9.50);
INSERT INTO Records (product_id, date, price) VALUES (126, '2020-08-18', 112.00);
INSERT INTO Records (product_id, date, price) VALUES (127, '2020-08-18', 13.00);
INSERT INTO Records (product_id, date, price) VALUES (128, '2020-08-18', 37.10);
INSERT INTO Records (product_id, date, price) VALUES (129, '2020-08-18', 59.00);
INSERT INTO Records (product_id, date, price) VALUES (130, '2020-08-18', 23.20);
INSERT INTO Records (product_id, date, price) VALUES (131, '2020-08-18', 23.90);
INSERT INTO Records (product_id, date, price) VALUES (132, '2020-08-18', 37.20);
INSERT INTO Records (product_id, date, price) VALUES (133, '2020-08-18', 19.50);
INSERT INTO Records (product_id, date, price) VALUES (134, '2020-08-18', 10.90);
INSERT INTO Records (product_id, date, price) VALUES (135, '2020-08-18', 28.70);
INSERT INTO Records (product_id, date, price) VALUES (136, '2020-08-18', 69.60);
INSERT INTO Records (product_id, date, price) VALUES (137, '2020-08-18', 57.60);
INSERT INTO Records (product_id, date, price) VALUES (138, '2020-08-18', 8.00);
INSERT INTO Records (product_id, date, price) VALUES (139, '2020-08-18', 10.00);
INSERT INTO Records (product_id, date, price) VALUES (140, '2020-08-18', 13.00);
INSERT INTO Records (product_id, date, price) VALUES (141, '2020-08-18', 36.20);
INSERT INTO Records (product_id, date, price) VALUES (142, '2020-08-18', 12.00);
INSERT INTO Records (product_id, date, price) VALUES (143, '2020-08-18', 23.00);
INSERT INTO Records (product_id, date, price) VALUES (144, '2020-08-18', 24.00);
INSERT INTO Records (product_id, date, price) VALUES (145, '2020-08-18', 27.60);
INSERT INTO Records (product_id, date, price) VALUES (146, '2020-08-18', 68.00);
INSERT INTO Records (product_id, date, price) VALUES (147, '2020-08-18', 51.00);
INSERT INTO Records (product_id, date, price) VALUES (148, '2020-08-18', 9.00);
INSERT INTO Records (product_id, date, price) VALUES (149, '2020-08-18', 11.00);
INSERT INTO Records (product_id, date, price) VALUES (150, '2020-08-18', 96.00);
INSERT INTO Records (product_id, date, price) VALUES (151, '2020-08-18', 39.00);
INSERT INTO Records (product_id, date, price) VALUES (152, '2020-08-18', 13.30);
INSERT INTO Records (product_id, date, price) VALUES (153, '2020-08-18', 16.50);
INSERT INTO Records (product_id, date, price) VALUES (154, '2020-08-18', 16.30);
INSERT INTO Records (product_id, date, price) VALUES (155, '2020-08-18', 23.40);
INSERT INTO Records (product_id, date, price) VALUES (156, '2020-08-18', 29.50);
INSERT INTO Records (product_id, date, price) VALUES (157, '2020-08-18', 29.70);
INSERT INTO Records (product_id, date, price) VALUES (158, '2020-08-18', 39.00);
INSERT INTO Records (product_id, date, price) VALUES (159, '2020-08-18', 38.30);
INSERT INTO Records (product_id, date, price) VALUES (160, '2020-08-18', 54.00);
INSERT INTO Records (product_id, date, price) VALUES (161, '2020-08-18', 38.30);
INSERT INTO Records (product_id, date, price) VALUES (162, '2020-08-18', 18.50);
INSERT INTO Records (product_id, date, price) VALUES (163, '2020-08-18', 19.00);
INSERT INTO Records (product_id, date, price) VALUES (164, '2020-08-18', 26.10);
INSERT INTO Records (product_id, date, price) VALUES (165, '2020-08-18', 28.10);
INSERT INTO Records (product_id, date, price) VALUES (166, '2020-08-18', 31.60);
INSERT INTO Records (product_id, date, price) VALUES (167, '2020-08-18', 48.00);
INSERT INTO Records (product_id, date, price) VALUES (168, '2020-08-18', 40.60);
INSERT INTO Records (product_id, date, price) VALUES (169, '2020-08-18', 40.00);
INSERT INTO Records (product_id, date, price) VALUES (170, '2020-08-18', 26.80);
INSERT INTO Records (product_id, date, price) VALUES (171, '2020-08-18', 40.00);
INSERT INTO Records (product_id, date, price) VALUES (172, '2020-08-18', 25.90);
INSERT INTO Records (product_id, date, price) VALUES (173, '2020-08-18', 21.20);
INSERT INTO Records (product_id, date, price) VALUES (174, '2020-08-18', 16.60);
INSERT INTO Records (product_id, date, price) VALUES (175, '2020-08-18', 23.10);
INSERT INTO Records (product_id, date, price) VALUES (176, '2020-08-18', 26.10);
INSERT INTO Records (product_id, date, price) VALUES (177, '2020-08-18', 189.00);
INSERT INTO Records (product_id, date, price) VALUES (178, '2020-08-18', 9.60);
INSERT INTO Records (product_id, date, price) VALUES (179, '2020-08-18', 10.80);
INSERT INTO Records (product_id, date, price) VALUES (180, '2020-08-18', 11.10);
INSERT INTO Records (product_id, date, price) VALUES (181, '2020-08-18', 10.80);
INSERT INTO Records (product_id, date, price) VALUES (182, '2020-08-18', 12.00);
INSERT INTO Records (product_id, date, price) VALUES (183, '2020-08-18', 23.00);
INSERT INTO Records (product_id, date, price) VALUES (184, '2020-08-18', 30.20);
INSERT INTO Records (product_id, date, price) VALUES (185, '2020-08-18', 38.30);
INSERT INTO Records (product_id, date, price) VALUES (186, '2020-08-18', 50.00);
INSERT INTO Records (product_id, date, price) VALUES (187, '2020-08-18', 21.50);
INSERT INTO Records (product_id, date, price) VALUES (188, '2020-08-18', 51.00);
INSERT INTO Records (product_id, date, price) VALUES (189, '2020-08-18', 113.00);
INSERT INTO Records (product_id, date, price) VALUES (190, '2020-08-18', 118.00);
INSERT INTO Records (product_id, date, price) VALUES (191, '2020-08-18', 46.00);
INSERT INTO Records (product_id, date, price) VALUES (192, '2020-08-18', 40.60);
INSERT INTO Records (product_id, date, price) VALUES (193, '2020-08-18', 55.00);
INSERT INTO Records (product_id, date, price) VALUES (194, '2020-08-18', 45.70);
INSERT INTO Records (product_id, date, price) VALUES (195, '2020-08-18', 115.00);
Antoshka: timeout exception.
INSERT INTO Records (product_id, date, price) VALUES (196, '2020-08-18', 0.00);
INSERT INTO Records (product_id, date, price) VALUES (197, '2020-08-18', 75.00);
INSERT INTO Records (product_id, date, price) VALUES (198, '2020-08-18', 58.00);
INSERT INTO Records (product_id, date, price) VALUES (199, '2020-08-18', 59.00);
INSERT INTO Records (product_id, date, price) VALUES (200, '2020-08-18', 74.00);
INSERT INTO Records (product_id, date, price) VALUES (201, '2020-08-18', 69.00);
INSERT INTO Records (product_id, date, price) VALUES (202, '2020-08-18', 49.00);
INSERT INTO Records (product_id, date, price) VALUES (203, '2020-08-18', 92.00);
INSERT INTO Records (product_id, date, price) VALUES (204, '2020-08-18', 118.00);
INSERT INTO Records (product_id, date, price) VALUES (205, '2020-08-18', 69.00);
INSERT INTO Records (product_id, date, price) VALUES (206, '2020-08-18', 99.00);
INSERT INTO Records (product_id, date, price) VALUES (207, '2020-08-18', 40.00);
INSERT INTO Records (product_id, date, price) VALUES (208, '2020-08-18', 54.00);
INSERT INTO Records (product_id, date, price) VALUES (209, '2020-08-18', 65.00);
INSERT INTO Records (product_id, date, price) VALUES (210, '2020-08-18', 69.00);
INSERT INTO Records (product_id, date, price) VALUES (211, '2020-08-18', 7.00);
INSERT INTO Records (product_id, date, price) VALUES (212, '2020-08-18', 9.00);
INSERT INTO Records (product_id, date, price) VALUES (213, '2020-08-18', 23.00);
INSERT INTO Records (product_id, date, price) VALUES (214, '2020-08-18', 6.00);
INSERT INTO Records (product_id, date, price) VALUES (215, '2020-08-18', 96.00);
INSERT INTO Records (product_id, date, price) VALUES (216, '2020-08-18', 299.00);
INSERT INTO Records (product_id, date, price) VALUES (217, '2020-08-18', 219.00);
INSERT INTO Records (product_id, date, price) VALUES (218, '2020-08-18', 29.60);
INSERT INTO Records (product_id, date, price) VALUES (219, '2020-08-18', 199.00);
INSERT INTO Records (product_id, date, price) VALUES (220, '2020-08-18', 40.80);
INSERT INTO Records (product_id, date, price) VALUES (221, '2020-08-18', 179.00);
INSERT INTO Records (product_id, date, price) VALUES (222, '2020-08-18', 25.40);
INSERT INTO Records (product_id, date, price) VALUES (223, '2020-08-18', 104.00);
INSERT INTO Records (product_id, date, price) VALUES (224, '2020-08-18', 30.50);
INSERT INTO Records (product_id, date, price) VALUES (225, '2020-08-18', 119.00);
INSERT INTO Records (product_id, date, price) VALUES (226, '2020-08-18', 229.00);
INSERT INTO Records (product_id, date, price) VALUES (227, '2020-08-18', 330.00);
INSERT INTO Records (product_id, date, price) VALUES (228, '2020-08-18', 33.40);
INSERT INTO Records (product_id, date, price) VALUES (229, '2020-08-18', 29.60);
INSERT INTO Records (product_id, date, price) VALUES (230, '2020-08-18', 29.60);
INSERT INTO Records (product_id, date, price) VALUES (231, '2020-08-18', 28.60);
INSERT INTO Records (product_id, date, price) VALUES (232, '2020-08-18', 288.00);
INSERT INTO Records (product_id, date, price) VALUES (233, '2020-08-18', 53.00);
INSERT INTO Records (product_id, date, price) VALUES (234, '2020-08-18', 459.00);
INSERT INTO Records (product_id, date, price) VALUES (235, '2020-08-18', 430.00);
INSERT INTO Records (product_id, date, price) VALUES (236, '2020-08-18', 448.00);
INSERT INTO Records (product_id, date, price) VALUES (237, '2020-08-18', 239.00);
INSERT INTO Records (product_id, date, price) VALUES (238, '2020-08-18', 179.00);
INSERT INTO Records (product_id, date, price) VALUES (239, '2020-08-18', 269.00);
INSERT INTO Records (product_id, date, price) VALUES (240, '2020-08-18', 229.00);
INSERT INTO Records (product_id, date, price) VALUES (241, '2020-08-18', 189.00);
INSERT INTO Records (product_id, date, price) VALUES (242, '2020-08-18', 150.00);
INSERT INTO Records (product_id, date, price) VALUES (243, '2020-08-18', 249.00);
INSERT INTO Records (product_id, date, price) VALUES (244, '2020-08-18', 57.00);
INSERT INTO Records (product_id, date, price) VALUES (245, '2020-08-18', 449.00);
INSERT INTO Records (product_id, date, price) VALUES (246, '2020-08-18', 339.00);
INSERT INTO Records (product_id, date, price) VALUES (247, '2020-08-18', 339.00);
INSERT INTO Records (product_id, date, price) VALUES (248, '2020-08-18', 640.00);
INSERT INTO Records (product_id, date, price) VALUES (249, '2020-08-18', 229.00);
INSERT INTO Records (product_id, date, price) VALUES (250, '2020-08-18', 349.00);
INSERT INTO Records (product_id, date, price) VALUES (251, '2020-08-18', 419.00);
INSERT INTO Records (product_id, date, price) VALUES (252, '2020-08-18', 39.30);
INSERT INTO Records (product_id, date, price) VALUES (253, '2020-08-18', 20.00);
INSERT INTO Records (product_id, date, price) VALUES (254, '2020-08-18', 55.90);
INSERT INTO Records (product_id, date, price) VALUES (255, '2020-08-18', 279.00);
INSERT INTO Records (product_id, date, price) VALUES (256, '2020-08-18', 189.00);
INSERT INTO Records (product_id, date, price) VALUES (257, '2020-08-18', 35.20);
INSERT INTO Records (product_id, date, price) VALUES (258, '2020-08-18', 112.40);
INSERT INTO Records (product_id, date, price) VALUES (259, '2020-08-18', 239.00);
INSERT INTO Records (product_id, date, price) VALUES (260, '2020-08-18', 120.70);
INSERT INTO Records (product_id, date, price) VALUES (261, '2020-08-18', 259.00);
INSERT INTO Records (product_id, date, price) VALUES (262, '2020-08-18', 109.00);
INSERT INTO Records (product_id, date, price) VALUES (263, '2020-08-18', 289.00);
INSERT INTO Records (product_id, date, price) VALUES (264, '2020-08-18', 109.00);
INSERT INTO Records (product_id, date, price) VALUES (265, '2020-08-18', 17.53);
INSERT INTO Records (product_id, date, price) VALUES (266, '2020-08-18', 169.00);
INSERT INTO Records (product_id, date, price) VALUES (267, '2020-08-18', 23.80);
INSERT INTO Records (product_id, date, price) VALUES (268, '2020-08-18', 299.00);
INSERT INTO Records (product_id, date, price) VALUES (269, '2020-08-18', 169.00);
INSERT INTO Records (product_id, date, price) VALUES (270, '2020-08-18', 6.70);
INSERT INTO Records (product_id, date, price) VALUES (271, '2020-08-18', 255.00);
INSERT INTO Records (product_id, date, price) VALUES (272, '2020-08-18', 56.00);
INSERT INTO Records (product_id, date, price) VALUES (273, '2020-08-18', 170.00);
INSERT INTO Records (product_id, date, price) VALUES (274, '2020-08-18', 159.00);
INSERT INTO Records (product_id, date, price) VALUES (275, '2020-08-18', 319.00);
INSERT INTO Records (product_id, date, price) VALUES (276, '2020-08-18', 69.00);
INSERT INTO Records (product_id, date, price) VALUES (277, '2020-08-18', 47.90);
INSERT INTO Records (product_id, date, price) VALUES (278, '2020-08-18', 297.00);
INSERT INTO Records (product_id, date, price) VALUES (279, '2020-08-18', 39.50);
INSERT INTO Records (product_id, date, price) VALUES (280, '2020-08-18', 85.00);
INSERT INTO Records (product_id, date, price) VALUES (281, '2020-08-18', 35.00);
INSERT INTO Records (product_id, date, price) VALUES (282, '2020-08-18', 339.00);
INSERT INTO Records (product_id, date, price) VALUES (283, '2020-08-18', 199.00);
INSERT INTO Records (product_id, date, price) VALUES (284, '2020-08-18', 239.00);
INSERT INTO Records (product_id, date, price) VALUES (285, '2020-08-18', 29.00);
INSERT INTO Records (product_id, date, price) VALUES (286, '2020-08-18', 56.00);
INSERT INTO Records (product_id, date, price) VALUES (288, '2020-08-18', 54.00);
INSERT INTO Records (product_id, date, price) VALUES (289, '2020-08-18', 62.00);
INSERT INTO Records (product_id, date, price) VALUES (290, '2020-08-18', 129.00);
INSERT INTO Records (product_id, date, price) VALUES (291, '2020-08-18', 9.80);
INSERT INTO Records (product_id, date, price) VALUES (292, '2020-08-18', 49.00);
INSERT INTO Records (product_id, date, price) VALUES (293, '2020-08-18', 49.00);
INSERT INTO Records (product_id, date, price) VALUES (294, '2020-08-18', 59.00);
INSERT INTO Records (product_id, date, price) VALUES (295, '2020-08-18', 15.50);
INSERT INTO Records (product_id, date, price) VALUES (296, '2020-08-18', 124.00);
INSERT INTO Records (product_id, date, price) VALUES (297, '2020-08-18', 15.70);
INSERT INTO Records (product_id, date, price) VALUES (298, '2020-08-18', 79.00);
INSERT INTO Records (product_id, date, price) VALUES (299, '2020-08-18', 9.70);
INSERT INTO Records (product_id, date, price) VALUES (300, '2020-08-18', 46.00);
INSERT INTO Records (product_id, date, price) VALUES (301, '2020-08-18', 63.00);
INSERT INTO Records (product_id, date, price) VALUES (302, '2020-08-18', 119.00);
INSERT INTO Records (product_id, date, price) VALUES (303, '2020-08-18', 18.50);
INSERT INTO Records (product_id, date, price) VALUES (304, '2020-08-18', 39.00);
INSERT INTO Records (product_id, date, price) VALUES (305, '2020-08-18', 16.70);
INSERT INTO Records (product_id, date, price) VALUES (306, '2020-08-18', 45.00);
INSERT INTO Records (product_id, date, price) VALUES (307, '2020-08-18', 9.60);
INSERT INTO Records (product_id, date, price) VALUES (308, '2020-08-18', 49.00);
INSERT INTO Records (product_id, date, price) VALUES (309, '2020-08-18', 119.00);
INSERT INTO Records (product_id, date, price) VALUES (310, '2020-08-18', 10.20);
INSERT INTO Records (product_id, date, price) VALUES (311, '2020-08-18', 59.00);
INSERT INTO Records (product_id, date, price) VALUES (312, '2020-08-18', 19.00);
INSERT INTO Records (product_id, date, price) VALUES (313, '2020-08-18', 41.80);
INSERT INTO Records (product_id, date, price) VALUES (314, '2020-08-18', 22.10);
INSERT INTO Records (product_id, date, price) VALUES (315, '2020-08-18', 12.20);
INSERT INTO Records (product_id, date, price) VALUES (316, '2020-08-18', 18.20);
INSERT INTO Records (product_id, date, price) VALUES (317, '2020-08-18', 15.70);
INSERT INTO Records (product_id, date, price) VALUES (318, '2020-08-18', 10.30);
INSERT INTO Records (product_id, date, price) VALUES (319, '2020-08-18', 20.90);
INSERT INTO Records (product_id, date, price) VALUES (320, '2020-08-18', 25.60);
INSERT INTO Records (product_id, date, price) VALUES (321, '2020-08-18', 19.00);
INSERT INTO Records (product_id, date, price) VALUES (322, '2020-08-18', 13.50);
INSERT INTO Records (product_id, date, price) VALUES (323, '2020-08-18', 10.10);
INSERT INTO Records (product_id, date, price) VALUES (324, '2020-08-18', 12.30);
INSERT INTO Records (product_id, date, price) VALUES (325, '2020-08-18', 16.70);
INSERT INTO Records (product_id, date, price) VALUES (326, '2020-08-18', 47.50);
INSERT INTO Records (product_id, date, price) VALUES (327, '2020-08-18', 29.00);
INSERT INTO Records (product_id, date, price) VALUES (328, '2020-08-18', 44.90);
INSERT INTO Records (product_id, date, price) VALUES (329, '2020-08-18', 25.00);
INSERT INTO Records (product_id, date, price) VALUES (330, '2020-08-18', 7.40);
INSERT INTO Records (product_id, date, price) VALUES (331, '2020-08-18', 9.30);
INSERT INTO Records (product_id, date, price) VALUES (332, '2020-08-18', 12.70);
INSERT INTO Records (product_id, date, price) VALUES (333, '2020-08-18', 34.40);
INSERT INTO Records (product_id, date, price) VALUES (334, '2020-08-18', 25.50);
INSERT INTO Records (product_id, date, price) VALUES (335, '2020-08-18', 10.50);
INSERT INTO Records (product_id, date, price) VALUES (336, '2020-08-18', 14.30);
INSERT INTO Records (product_id, date, price) VALUES (337, '2020-08-18', 39.80);
INSERT INTO Records (product_id, date, price) VALUES (338, '2020-08-18', 25.50);
INSERT INTO Records (product_id, date, price) VALUES (339, '2020-08-18', 25.10);
INSERT INTO Records (product_id, date, price) VALUES (340, '2020-08-18', 26.00);
INSERT INTO Records (product_id, date, price) VALUES (341, '2020-08-18', 40.40);
INSERT INTO Records (product_id, date, price) VALUES (342, '2020-08-18', 51.00);
INSERT INTO Records (product_id, date, price) VALUES (343, '2020-08-18', 26.10);
INSERT INTO Records (product_id, date, price) VALUES (344, '2020-08-18', 48.70);
INSERT INTO Records (product_id, date, price) VALUES (345, '2020-08-18', 26.20);
INSERT INTO Records (product_id, date, price) VALUES (346, '2020-08-18', 31.70);
Epicentr: price block not found. Price 0.0 returned.
INSERT INTO Records (product_id, date, price) VALUES (347, '2020-08-18', 0.00);
INSERT INTO Records (product_id, date, price) VALUES (348, '2020-08-18', 33.50);
INSERT INTO Records (product_id, date, price) VALUES (349, '2020-08-18', 29.50);
INSERT INTO Records (product_id, date, price) VALUES (350, '2020-08-18', 39.30);
INSERT INTO Records (product_id, date, price) VALUES (351, '2020-08-18', 29.30);
INSERT INTO Records (product_id, date, price) VALUES (352, '2020-08-18', 55.90);
INSERT INTO Records (product_id, date, price) VALUES (353, '2020-08-18', 42.50);
INSERT INTO Records (product_id, date, price) VALUES (354, '2020-08-18', 17.70);
INSERT INTO Records (product_id, date, price) VALUES (355, '2020-08-18', 15.00);
INSERT INTO Records (product_id, date, price) VALUES (356, '2020-08-18', 32.30);
INSERT INTO Records (product_id, date, price) VALUES (357, '2020-08-18', 27.30);
INSERT INTO Records (product_id, date, price) VALUES (358, '2020-08-18', 138.50);
INSERT INTO Records (product_id, date, price) VALUES (359, '2020-08-18', 31.10);
INSERT INTO Records (product_id, date, price) VALUES (360, '2020-08-18', 115.00);
INSERT INTO Records (product_id, date, price) VALUES (361, '2020-08-18', 58.60);
INSERT INTO Records (product_id, date, price) VALUES (362, '2020-08-18', 25.70);
INSERT INTO Records (product_id, date, price) VALUES (363, '2020-08-18', 55.90);
INSERT INTO Records (product_id, date, price) VALUES (364, '2020-08-18', 14.90);
Epicentr: price block not found. Price 0.0 returned.
INSERT INTO Records (product_id, date, price) VALUES (365, '2020-08-18', 0.00);
INSERT INTO Records (product_id, date, price) VALUES (366, '2020-08-18', 17.70);
INSERT INTO Records (product_id, date, price) VALUES (367, '2020-08-18', 16.80);
INSERT INTO Records (product_id, date, price) VALUES (368, '2020-08-18', 80.60);
